customer_id,05-04-2023,06-04-2023,10-04-2023,12-04-2023,13-04-2023
9990010012,,,,,
9990010004,,,,,
9990010013,,,,,
9990010014,,,,,
9990010015,,,,,
9990010016,,,,,
9990010017,,,,,
9990010018,,,,,
9990010019,,,,-2000,
9990010001,,,,,-1000
9990010020,,,,,
9990010021,,,,,
9990010002,,,,,
9990010022,,,,,
9990010023,,,,,
9990010009,,,,,
9990010010,,,,,
9990010024,,,,,
9990010025,,,,,
9990010003,,,,,
9990010026,,,,,
9990010027,,,,,
9990010007,,,,,
9990010011,,,,,
9990010006,,,,,
9990010005,400,,,,-400
9990010030,,150,,,
9990010028,250,,,,
9990010029,100,,,,
9990010031,200,,,,
9990010032,,,,200,
